Year,State,Urban_Rural,Road_Type,Weather,Vehicle_Type,Accident_Count,Fatalities,Injuries,Severity_Index
2014,Madhya Pradesh,Urban,Rural,Fog,Bus,24801,2771,17295,5.16
2017,Delhi,Urban,City,Clear,Two-Wheeler,11712,1078,5084,7.74
2018,Telangana,Rural,City,Fog,Bus,2870,184,1854,6.12
2011,Haryana,Rural,SH,Clear,Bus,8686,592,6686,7.65
2022,Telangana,Urban,Rural,Rainy,Car,13758,1056,7032,9.4
2013,Karnataka,Rural,Rural,Rainy,Truck,1236,81,803,5.55
2013,Maharashtra,Urban,NH,Fog,Two-Wheeler,21758,1138,16639,5.01
2014,Telangana,Rural,Rural,Rainy,Two-Wheeler,1010,68,594,7.61
2019,Delhi,Rural,SH,Fog,Car,13098,1808,7632,9.31
2016,Himachal Pradesh,Urban,City,Fog,Truck,9081,962,6907,6.22
2010,Uttar Pradesh,Rural,Rural,Clear,Car,905,100,460,5.9
2014,Chhattisgarh,Urban,SH,Clear,Bus,7333,648,4166,7.47
2011,Uttarakhand,Urban,SH,Fog,Two-Wheeler,4968,268,2230,6.26
2021,Rajasthan,Rural,City,Rainy,Two-Wheeler,17384,1505,10240,9.11
2017,Odisha,Rural,City,Rainy,Truck,4322,356,2007,7.79
2010,Madhya Pradesh,Urban,Rural,Rainy,Bus,13868,1802,8963,7.19
2019,Karnataka,Urban,City,Clear,Car,22427,1426,11847,7.36
2020,Punjab,Rural,City,Fog,Car,8240,771,5865,9.41
2014,Chhattisgarh,Rural,SH,Rainy,Bus,17458,1050,7111,9.15
2017,Andhra Pradesh,Urban,NH,Rainy,Car,19454,988,12986,7.76
2020,Uttarakhand,Urban,NH,Rainy,Two-Wheeler,20115,2799,11555,8.29
2017,Telangana,Urban,Rural,Clear,Bus,16572,1994,6937,7.6
2023,Assam,Rural,NH,Rainy,Two-Wheeler,7237,560,4169,5.88
2010,Assam,Rural,Rural,Clear,Two-Wheeler,24304,1545,15905,8.18
2013,Odisha,Rural,City,Rainy,Two-Wheeler,22892,1999,11661,5.8
2023,Arunachal Pradesh,Urban,SH,Clear,Bus,6199,886,4167,8.95
2011,Maharashtra,Rural,SH,Clear,Car,23687,1193,12044,5.66
2014,Arunachal Pradesh,Rural,SH,Clear,Bus,12604,1412,8698,5.54
2017,Odisha,Rural,NH,Fog,Car,17563,2613,7686,7.49
2021,Karnataka,Urban,City,Rainy,Truck,18215,2692,12917,9.37
2014,Telangana,Rural,SH,Clear,Car,1725,234,999,7.29
2023,Uttarakhand,Rural,City,Fog,Car,7091,1025,3271,9.27
2022,Karnataka,Urban,City,Rainy,Two-Wheeler,12888,946,7508,5.67
2011,Bihar,Rural,Rural,Fog,Truck,5404,333,3299,7.48
2013,Telangana,Urban,NH,Clear,Bus,16216,1154,7524,5.62
2011,Haryana,Urban,City,Fog,Two-Wheeler,2242,242,1110,8.74
2010,Karnataka,Urban,NH,Fog,Bus,8124,1218,4121,6.34
2021,West Bengal,Urban,NH,Fog,Two-Wheeler,16355,1759,8766,8.52
2014,Gujarat,Urban,Rural,Clear,Truck,11386,1341,8436,5.17
2020,Maharashtra,Urban,City,Fog,Bus,16362,2139,12479,6.37
2019,Punjab,Rural,SH,Fog,Two-Wheeler,15713,1844,10818,8.2
2021,Uttar Pradesh,Rural,NH,Clear,Truck,15745,1478,11127,9.43
2010,Himachal Pradesh,Rural,NH,Clear,Car,18200,1435,8665,5.31
2023,Delhi,Rural,SH,Rainy,Car,14283,1225,10292,6.62
2015,Odisha,Urban,City,Rainy,Bus,10859,1375,8217,5.38
2024,Haryana,Urban,NH,Clear,Car,6142,817,4539,7.78
2022,Chhattisgarh,Rural,SH,Fog,Bus,13097,699,8697,7.38
2019,Madhya Pradesh,Rural,Rural,Rainy,Truck,23047,2245,16884,7.16
2023,Punjab,Rural,City,Rainy,Car,5679,409,4476,5.5
2017,Himachal Pradesh,Rural,Rural,Clear,Two-Wheeler,18471,1233,10362,6.79
2012,Chhattisgarh,Rural,City,Clear,Two-Wheeler,4668,342,3235,5.68
2016,Punjab,Rural,SH,Rainy,Truck,14578,949,6095,7.49
2010,Himachal Pradesh,Urban,City,Rainy,Car,18994,1965,14723,5.14
2019,Karnataka,Urban,NH,Rainy,Bus,15857,1612,10363,7.76
2024,Gujarat,Urban,City,Clear,Bus,6594,410,3069,8.8
2017,Assam,Rural,City,Clear,Bus,24244,1545,15096,8.15
2011,Odisha,Urban,Rural,Clear,Two-Wheeler,1039,147,456,7.24
2018,Karnataka,Urban,NH,Fog,Truck,9977,1007,7516,5.94
2012,Madhya Pradesh,Rural,City,Rainy,Truck,17151,1840,10188,7.44
2013,Goa,Rural,SH,Rainy,Two-Wheeler,6366,322,4685,5.62
2015,Maharashtra,Urban,SH,Fog,Truck,902,77,530,9.31
2013,Andhra Pradesh,Rural,City,Fog,Bus,8242,1030,3813,5.38
2023,Odisha,Urban,City,Fog,Truck,8846,478,3801,8.9
2018,Uttarakhand,Rural,SH,Rainy,Two-Wheeler,7817,494,4302,7.63
2017,Karnataka,Urban,NH,Clear,Bus,19462,1664,12099,5.32
2023,Delhi,Rural,Rural,Fog,Truck,1708,104,1045,7.64
2013,Uttar Pradesh,Urban,NH,Rainy,Car,8747,782,5153,5.99
2024,Tamil Nadu,Rural,Rural,Clear,Car,16536,1245,12685,7.83
2018,Karnataka,Rural,NH,Clear,Two-Wheeler,1144,133,651,6.35
2023,Uttar Pradesh,Urban,NH,Fog,Bus,19009,1912,7986,7.4
2020,Karnataka,Rural,SH,Fog,Truck,20857,1969,9098,5.49
2018,Gujarat,Rural,NH,Fog,Two-Wheeler,4424,362,3335,6.98
2015,West Bengal,Urban,NH,Fog,Car,17858,1319,13978,6.12
2022,Rajasthan,Rural,City,Clear,Two-Wheeler,4391,570,2675,6.42
2016,Karnataka,Rural,SH,Clear,Car,8955,1148,4716,8.1
2010,Himachal Pradesh,Urban,SH,Fog,Two-Wheeler,3153,403,1760,7.92
2017,Himachal Pradesh,Rural,City,Rainy,Truck,4238,268,3290,5.7
2013,Delhi,Rural,SH,Rainy,Bus,5163,535,3727,8.66
2023,Punjab,Urban,Rural,Clear,Two-Wheeler,19999,1461,13463,7.96
2018,Uttarakhand,Urban,NH,Fog,Bus,19789,2111,9801,9.12
2019,Rajasthan,Urban,City,Rainy,Bus,18165,1758,11041,8.2
2022,Assam,Urban,Rural,Clear,Truck,5783,817,3752,8.99
2014,Delhi,Urban,SH,Clear,Truck,20112,2276,14240,7.22
2020,Assam,Urban,SH,Rainy,Car,10273,1181,4714,7.79
2016,Madhya Pradesh,Rural,City,Fog,Truck,12444,1514,8886,6.29
2023,West Bengal,Rural,Rural,Fog,Truck,841,118,400,5.56
2017,Assam,Urban,SH,Fog,Car,5297,733,3642,6.34
2017,Tamil Nadu,Rural,City,Clear,Bus,12610,1003,5178,7.4
2023,West Bengal,Urban,SH,Rainy,Truck,10984,722,6263,7.56
2011,Uttar Pradesh,Urban,SH,Rainy,Two-Wheeler,22845,1263,11531,6.75
2021,Madhya Pradesh,Rural,NH,Rainy,Two-Wheeler,11751,847,7800,8.04
2010,Kerala,Urban,SH,Clear,Truck,11136,1156,5169,7.33
2021,Andhra Pradesh,Urban,NH,Rainy,Two-Wheeler,5867,787,4249,7.06
2021,Bihar,Urban,SH,Clear,Two-Wheeler,22236,1915,11209,5.08
2014,Andhra Pradesh,Urban,SH,Clear,Two-Wheeler,11830,805,8074,7.22
2018,Uttar Pradesh,Urban,SH,Rainy,Two-Wheeler,23968,2641,13901,5.14
2019,Madhya Pradesh,Rural,Rural,Fog,Car,24100,2480,10579,8.16
2023,Delhi,Rural,City,Rainy,Two-Wheeler,4107,472,2645,8.36
2022,Assam,Urban,SH,Clear,Bus,6971,904,3905,5.95
2023,Jharkhand,Rural,Rural,Rainy,Car,24484,3110,14258,8.52
2020,Karnataka,Urban,City,Rainy,Truck,11453,709,8991,5.89
2019,Uttarakhand,Urban,City,Rainy,Bus,8611,1242,4293,8.41
2017,Delhi,Rural,NH,Fog,Two-Wheeler,17803,1486,8577,8.05
2017,Tamil Nadu,Urban,Rural,Clear,Bus,23061,3040,15825,5.13
2024,Maharashtra,Rural,SH,Clear,Bus,17717,1742,9458,9.25
2024,Goa,Rural,Rural,Clear,Car,20911,1305,10678,9.3
2011,Tamil Nadu,Rural,Rural,Clear,Truck,11179,1523,5237,7.44
2023,Gujarat,Urban,City,Rainy,Two-Wheeler,2642,133,1345,6.13
2023,West Bengal,Urban,SH,Rainy,Truck,15380,1817,9889,7.55
2015,Bihar,Urban,SH,Rainy,Truck,7529,421,5163,7.09
2017,Punjab,Rural,City,Clear,Bus,21309,1503,14567,6.36
2023,Haryana,Rural,City,Rainy,Car,23878,3170,17235,5.26
2013,Delhi,Urban,NH,Clear,Car,4609,259,3313,5.34
2022,Uttarakhand,Urban,Rural,Rainy,Bus,11606,1428,8800,5.87
2014,Gujarat,Rural,NH,Clear,Truck,14438,1363,10190,8.65
2016,Uttar Pradesh,Rural,SH,Clear,Truck,23920,2443,13192,9.37
2015,Andhra Pradesh,Rural,Rural,Fog,Two-Wheeler,16101,2088,8828,6.76
2010,Odisha,Rural,NH,Fog,Car,1239,178,928,7.36
2012,Bihar,Urban,NH,Clear,Two-Wheeler,7033,786,5057,9.1
2013,Kerala,Rural,City,Clear,Bus,581,62,447,7.99
2013,Tamil Nadu,Rural,City,Fog,Bus,5107,299,3402,6.38
2016,Bihar,Urban,SH,Rainy,Truck,19012,1693,10937,9.22
2016,Andhra Pradesh,Urban,SH,Rainy,Truck,7121,996,5378,6.25
2019,West Bengal,Rural,City,Fog,Bus,20866,2627,9276,8.83
2016,Tamil Nadu,Rural,SH,Rainy,Two-Wheeler,20841,1745,11521,5.12
2013,Jharkhand,Rural,Rural,Fog,Car,21517,1864,9151,5.8
2017,West Bengal,Urban,City,Clear,Two-Wheeler,19003,1377,8669,8.58
2020,West Bengal,Urban,NH,Fog,Two-Wheeler,20618,1944,9542,9.1
2017,Arunachal Pradesh,Rural,NH,Rainy,Bus,23290,1816,9672,7.11
2016,Tamil Nadu,Urban,City,Fog,Two-Wheeler,10024,727,7538,6.78
2023,Andhra Pradesh,Rural,SH,Fog,Truck,24043,2800,16053,8.47
2012,Himachal Pradesh,Urban,City,Clear,Bus,12493,1091,6622,7.35
2016,Madhya Pradesh,Rural,SH,Clear,Two-Wheeler,3377,288,2026,5.35
2013,Telangana,Rural,Rural,Rainy,Car,16085,2101,8660,6.89
2017,Arunachal Pradesh,Urban,Rural,Rainy,Two-Wheeler,9849,1257,6705,7.88
2020,Gujarat,Urban,Rural,Rainy,Truck,18275,942,8346,8.42
2017,Uttar Pradesh,Rural,SH,Fog,Car,16509,2286,11985,5.65
2023,Andhra Pradesh,Urban,City,Fog,Bus,18364,2006,9209,9.14
2010,Kerala,Urban,NH,Clear,Two-Wheeler,12693,1616,5518,5.01
2023,Himachal Pradesh,Urban,NH,Fog,Truck,10390,1167,4491,5.18
2010,Kerala,Rural,Rural,Rainy,Two-Wheeler,15938,2328,10707,8.14
2019,Himachal Pradesh,Rural,City,Fog,Truck,21545,1427,12366,7.45
2012,Tamil Nadu,Rural,SH,Clear,Bus,19262,2744,14710,6.77
2019,Odisha,Rural,City,Clear,Car,24126,2357,10153,8.93
2020,Andhra Pradesh,Rural,NH,Rainy,Car,21281,2673,11124,6.74
2020,Odisha,Urban,NH,Clear,Two-Wheeler,21081,2506,12273,7.21
2023,Delhi,Rural,Rural,Clear,Truck,4225,310,1973,5.53
2019,Telangana,Urban,NH,Rainy,Bus,14256,2064,9639,6.2
2015,Punjab,Rural,NH,Fog,Truck,2839,308,1251,5.88
2021,Andhra Pradesh,Rural,Rural,Fog,Truck,16909,1012,11133,7.07
2015,Haryana,Rural,City,Rainy,Two-Wheeler,21875,1393,9162,8.82
2022,Madhya Pradesh,Urban,City,Clear,Car,21630,2378,13480,7.85
2020,Himachal Pradesh,Rural,NH,Fog,Car,20083,1151,15342,8.6
2010,Uttar Pradesh,Urban,City,Rainy,Bus,23375,2240,14119,7.53
2024,Haryana,Urban,City,Rainy,Car,23569,3271,12896,6.31
2013,Bihar,Rural,SH,Rainy,Bus,7971,1103,4848,7.81
2010,Andhra Pradesh,Rural,SH,Fog,Truck,9908,1116,6748,5.44
2020,Delhi,Urban,SH,Fog,Bus,19988,2610,14684,7.87
2016,Tamil Nadu,Urban,NH,Fog,Car,11747,1078,7314,7.02
2013,Haryana,Urban,SH,Fog,Car,24610,3175,15781,8.04
2016,West Bengal,Urban,City,Clear,Truck,920,51,482,9.28
2017,Haryana,Rural,Rural,Clear,Two-Wheeler,7389,382,3069,9.02
2012,Karnataka,Urban,City,Rainy,Truck,14459,1751,11564,6.81
2014,Bihar,Urban,SH,Clear,Bus,19761,1493,11926,5.89
2024,Rajasthan,Rural,NH,Fog,Bus,23391,2575,15324,5.65
2022,Goa,Rural,NH,Fog,Car,1550,112,952,8.98
2014,Punjab,Urban,SH,Fog,Truck,9732,870,6766,6.09
2010,Maharashtra,Rural,Rural,Rainy,Truck,24698,1497,10184,5.22
2018,Haryana,Rural,SH,Fog,Bus,12359,1110,7155,6.52
2024,Kerala,Urban,City,Fog,Car,22091,1109,10983,8.49
2020,Telangana,Urban,Rural,Rainy,Car,7284,715,5292,5.67
2019,Jharkhand,Rural,Rural,Fog,Two-Wheeler,2648,156,1753,7.42
2015,Telangana,Rural,NH,Rainy,Truck,11806,1583,7772,7.47
2018,Madhya Pradesh,Urban,NH,Clear,Car,3409,292,1835,7.38
2018,Chhattisgarh,Rural,NH,Clear,Truck,2867,263,1622,5.92
2014,Karnataka,Rural,City,Clear,Bus,21180,1834,16839,6.76
2023,Chhattisgarh,Rural,NH,Rainy,Two-Wheeler,20565,1939,16040,6.9
2012,Assam,Urban,City,Fog,Car,11183,1558,7535,6.66
2017,Telangana,Urban,NH,Clear,Truck,7663,463,4948,8.95
2013,Rajasthan,Rural,Rural,Clear,Two-Wheeler,21120,3045,15282,6.33
2021,Uttarakhand,Rural,City,Clear,Truck,8397,470,5784,6.91
2016,Goa,Rural,SH,Clear,Two-Wheeler,10354,658,5582,5.17
2012,Haryana,Rural,City,Fog,Two-Wheeler,11973,1555,4819,7.53
2010,Chhattisgarh,Rural,NH,Clear,Car,21736,1444,17298,5.25
2010,Chhattisgarh,Urban,NH,Clear,Bus,24067,3247,12126,6.77
2018,Maharashtra,Rural,NH,Clear,Two-Wheeler,4189,288,2760,7.1
2015,Telangana,Rural,SH,Clear,Bus,8148,1072,5187,6.34
2018,Rajasthan,Urban,City,Clear,Car,23905,2752,12388,7.85
2014,Delhi,Urban,NH,Clear,Truck,4064,574,3212,7.93
2010,Haryana,Urban,City,Fog,Truck,23406,1847,15782,6.22
2015,Chhattisgarh,Urban,City,Clear,Car,20375,2027,8607,5.51
2011,Himachal Pradesh,Rural,Rural,Clear,Truck,10898,866,5525,8.56
2024,Odisha,Urban,NH,Fog,Car,17098,2457,10024,6.06
2016,Tamil Nadu,Rural,Rural,Rainy,Truck,609,48,286,7.45
2024,Odisha,Rural,NH,Rainy,Truck,12085,893,4987,7.0
2024,Odisha,Rural,SH,Fog,Truck,4411,611,3014,9.39
2013,Bihar,Urban,NH,Rainy,Car,16599,1525,9508,9.07
2012,Goa,Rural,Rural,Rainy,Two-Wheeler,7565,645,4290,7.94
2011,Gujarat,Urban,City,Clear,Bus,1587,210,1126,6.23
2014,Rajasthan,Urban,SH,Clear,Car,6465,930,3107,6.17
2022,Tamil Nadu,Urban,NH,Clear,Truck,14441,1318,7181,5.59
2024,Bihar,Urban,City,Fog,Two-Wheeler,15976,1366,9932,7.0
2017,Goa,Rural,City,Rainy,Truck,2128,132,1117,6.19
2015,Tamil Nadu,Urban,Rural,Rainy,Bus,3189,242,1522,9.28
2012,West Bengal,Urban,SH,Clear,Truck,10940,1440,7801,7.36
2021,Gujarat,Rural,City,Clear,Truck,19199,1733,10593,7.06
2013,West Bengal,Urban,NH,Fog,Two-Wheeler,2327,327,1832,6.47
2018,Punjab,Rural,Rural,Fog,Car,21436,1874,12754,6.53
2018,Maharashtra,Urban,SH,Clear,Car,24846,3550,17688,6.82
2010,Haryana,Rural,City,Fog,Car,15555,1724,9210,5.0
2017,Uttar Pradesh,Rural,SH,Rainy,Car,16776,2302,13193,5.73
2020,Goa,Rural,SH,Clear,Two-Wheeler,4283,375,2890,7.97
2012,Goa,Urban,Rural,Rainy,Car,15274,1512,10448,6.41
2016,Bihar,Urban,NH,Fog,Truck,2662,233,1705,5.34
2020,Uttar Pradesh,Rural,Rural,Clear,Truck,18499,1477,8852,6.03
2010,Haryana,Urban,NH,Fog,Bus,14080,1370,7543,6.78
2012,Chhattisgarh,Rural,Rural,Rainy,Car,15626,981,10860,9.09
2021,Goa,Urban,City,Clear,Truck,1671,162,962,8.25
2021,Uttarakhand,Rural,City,Fog,Truck,24994,2146,14946,5.98
2010,Haryana,Urban,Rural,Rainy,Bus,5411,416,3423,8.3
2018,Karnataka,Rural,City,Rainy,Two-Wheeler,13922,1286,9311,8.44
2015,Himachal Pradesh,Rural,City,Clear,Two-Wheeler,9156,1020,3734,7.91
2020,Tamil Nadu,Rural,Rural,Fog,Bus,3651,227,1953,6.68
2023,Chhattisgarh,Rural,Rural,Rainy,Bus,24992,1912,11480,7.64
2013,Gujarat,Rural,Rural,Clear,Two-Wheeler,15647,1353,10971,6.87
2010,Delhi,Urban,City,Clear,Car,13493,1618,7814,7.34
2020,Uttarakhand,Urban,City,Fog,Bus,696,57,534,7.04
2011,Tamil Nadu,Urban,City,Rainy,Bus,7464,932,3234,9.35
2024,Bihar,Urban,Rural,Rainy,Car,2463,291,1903,6.37
2010,Uttar Pradesh,Rural,SH,Clear,Bus,15173,1656,6254,8.95
2017,Jharkhand,Rural,City,Clear,Car,1876,108,1280,5.69
2021,Himachal Pradesh,Urban,Rural,Fog,Truck,22992,1906,16447,5.6
2010,Punjab,Urban,City,Clear,Car,11244,1015,7830,7.38
2023,Odisha,Rural,NH,Rainy,Car,20337,1186,14528,7.26
2019,Delhi,Urban,Rural,Fog,Bus,16248,1233,11528,6.36
2014,Arunachal Pradesh,Rural,SH,Rainy,Truck,13376,990,7275,5.26
2019,Uttarakhand,Urban,Rural,Fog,Two-Wheeler,23534,1471,16420,7.83
2016,Uttarakhand,Rural,NH,Clear,Bus,16359,1062,12419,8.96
2019,West Bengal,Urban,City,Clear,Car,23420,2672,17972,8.08
2012,Karnataka,Rural,City,Fog,Truck,4823,417,2904,7.6
2012,Tamil Nadu,Urban,SH,Rainy,Truck,9915,675,4531,7.66
2021,Gujarat,Rural,City,Clear,Car,22049,2820,12485,6.19
2024,Chhattisgarh,Rural,NH,Fog,Bus,11045,835,7724,8.31
2012,Himachal Pradesh,Urban,City,Clear,Car,9761,1341,4557,6.95
2019,Telangana,Urban,SH,Rainy,Truck,8547,1023,6253,7.6
2021,Telangana,Urban,SH,Rainy,Truck,7442,488,5657,5.02
2012,Uttarakhand,Urban,SH,Clear,Bus,4060,386,2117,7.22
2024,Gujarat,Rural,NH,Fog,Car,24476,1769,10384,5.58
2016,Chhattisgarh,Urban,City,Rainy,Truck,10224,783,5193,7.86
2021,Uttar Pradesh,Rural,SH,Fog,Bus,7259,973,3696,8.01
2016,Uttarakhand,Urban,NH,Fog,Car,3636,247,2188,7.78
2017,Haryana,Urban,Rural,Fog,Car,17476,1772,13263,5.97
2019,Haryana,Urban,NH,Clear,Two-Wheeler,15635,1008,9753,9.06
2017,Bihar,Urban,NH,Rainy,Two-Wheeler,18542,1212,13731,8.87
2010,Gujarat,Rural,NH,Rainy,Truck,1095,72,456,6.89
2013,Uttarakhand,Rural,SH,Fog,Car,1279,136,963,6.61
2020,Tamil Nadu,Urban,NH,Clear,Truck,10626,929,5968,5.87
2019,Delhi,Urban,Rural,Rainy,Two-Wheeler,20208,1244,10599,6.89
2019,Tamil Nadu,Urban,SH,Clear,Truck,9980,807,7831,8.96
2011,Bihar,Rural,City,Rainy,Truck,9331,1066,4022,9.12
2023,Odisha,Urban,NH,Clear,Car,18950,1926,13157,8.23
2020,Rajasthan,Urban,NH,Clear,Two-Wheeler,23196,2096,11927,6.96
2021,Gujarat,Rural,Rural,Fog,Bus,15358,1977,7010,6.9
2013,Arunachal Pradesh,Rural,City,Clear,Two-Wheeler,2983,395,1408,9.35
2022,Odisha,Urban,NH,Clear,Bus,18971,2597,9494,7.64
2019,Assam,Urban,NH,Clear,Bus,21370,1082,13177,8.94
2014,Tamil Nadu,Rural,NH,Rainy,Two-Wheeler,2117,137,1690,5.95
2012,Goa,Urban,NH,Clear,Bus,4019,555,2865,7.72
2017,Delhi,Urban,NH,Clear,Car,15450,876,8994,9.32
2013,Maharashtra,Rural,SH,Clear,Two-Wheeler,8492,837,6791,5.48
2019,Tamil Nadu,Urban,NH,Fog,Bus,23318,1910,11457,5.58
2013,Karnataka,Rural,Rural,Clear,Bus,7140,721,3939,5.58
2011,Tamil Nadu,Urban,SH,Clear,Bus,14396,790,6155,7.64
2022,Himachal Pradesh,Rural,SH,Rainy,Two-Wheeler,20137,2250,15963,9.06
2020,Karnataka,Rural,Rural,Clear,Truck,17607,1935,7364,8.28
2018,Assam,Urban,Rural,Rainy,Bus,4685,497,3526,8.99
2019,Haryana,Rural,SH,Fog,Car,5083,757,2583,6.81
2016,Chhattisgarh,Urban,Rural,Clear,Truck,4643,412,2992,8.9
2023,Jharkhand,Urban,SH,Rainy,Truck,22183,2110,9390,7.94
2017,Andhra Pradesh,Rural,SH,Clear,Two-Wheeler,11331,683,7176,8.63
2024,Odisha,Urban,SH,Clear,Car,20417,1603,10397,7.16
2016,Tamil Nadu,Urban,NH,Clear,Bus,16267,1295,11767,7.55
2019,Uttarakhand,Rural,NH,Rainy,Truck,20018,2472,12003,9.46
2020,Jharkhand,Urban,Rural,Clear,Car,1859,172,1000,5.27
2021,Karnataka,Urban,City,Clear,Two-Wheeler,11968,884,5576,6.9
2023,Rajasthan,Urban,NH,Clear,Truck,10294,652,4837,8.37
2018,Delhi,Rural,NH,Rainy,Truck,22767,2859,11560,8.79
2014,Maharashtra,Urban,City,Rainy,Truck,5414,331,3223,6.18
2020,Odisha,Rural,NH,Clear,Two-Wheeler,10170,949,7983,6.53
2020,Gujarat,Rural,SH,Clear,Two-Wheeler,17589,1670,11391,7.12
2023,Odisha,Rural,Rural,Fog,Two-Wheeler,19763,1726,9002,8.1
2018,Punjab,Urban,NH,Rainy,Two-Wheeler,2924,384,1445,8.53
2011,West Bengal,Rural,Rural,Rainy,Bus,19722,1992,14444,7.08
2015,Delhi,Rural,City,Rainy,Car,3970,575,2515,6.26
2019,Rajasthan,Rural,SH,Fog,Bus,20106,1085,10037,7.49
2011,Himachal Pradesh,Urban,City,Fog,Car,13752,2017,7140,5.16
2014,Uttarakhand,Rural,NH,Clear,Car,21417,2298,9149,6.65
2020,Goa,Rural,Rural,Rainy,Truck,13715,1833,9412,5.11
2018,Telangana,Rural,Rural,Clear,Truck,6590,668,3347,6.69
2024,Chhattisgarh,Rural,Rural,Rainy,Bus,1337,108,825,6.37
2022,Gujarat,Urban,Rural,Fog,Two-Wheeler,7011,965,3236,7.16
2011,Maharashtra,Rural,City,Clear,Car,3552,288,1730,6.42
2010,Odisha,Rural,SH,Rainy,Bus,23153,2734,10088,7.02
2021,Uttar Pradesh,Urban,SH,Clear,Truck,5281,493,3223,8.11
2022,Assam,Urban,SH,Rainy,Car,17643,1354,11572,5.82
2011,Karnataka,Urban,City,Clear,Truck,17487,1028,12772,7.47
2020,Gujarat,Urban,Rural,Fog,Car,24611,3042,14098,7.09
2020,Uttar Pradesh,Rural,NH,Fog,Car,11331,1339,4952,7.96
2018,Odisha,Rural,City,Clear,Car,1351,68,1011,9.17
2010,West Bengal,Rural,SH,Clear,Truck,7281,1066,4056,8.4
2011,Andhra Pradesh,Urban,Rural,Clear,Two-Wheeler,3668,216,1981,8.24
2021,Telangana,Rural,SH,Clear,Car,8807,1031,4480,6.79
2023,Madhya Pradesh,Urban,SH,Clear,Car,9121,666,6803,5.22
2010,Bihar,Urban,NH,Clear,Car,7190,613,4460,5.36
2021,Tamil Nadu,Urban,SH,Fog,Car,12129,925,6405,6.77
2015,Gujarat,Rural,NH,Rainy,Truck,14599,2169,8378,9.36
2019,Andhra Pradesh,Urban,Rural,Fog,Truck,11616,759,8253,6.22
2014,Punjab,Urban,City,Fog,Truck,19043,2524,10778,5.9
2013,Andhra Pradesh,Urban,Rural,Clear,Truck,8838,978,4241,5.66
2024,Kerala,Urban,Rural,Clear,Two-Wheeler,19538,2000,9710,5.4
2017,Arunachal Pradesh,Rural,Rural,Clear,Bus,19434,2183,7972,5.89
2013,Arunachal Pradesh,Urban,NH,Fog,Bus,18412,2309,10042,5.68
2023,Maharashtra,Rural,City,Rainy,Truck,12550,1794,9843,7.32
2016,Uttarakhand,Rural,SH,Rainy,Two-Wheeler,2208,245,1348,9.28
2020,Tamil Nadu,Urban,Rural,Rainy,Truck,16185,865,7172,6.0
2014,Assam,Urban,NH,Clear,Bus,17213,1377,12716,7.74
2014,Assam,Urban,SH,Clear,Bus,7127,933,3097,8.19
2012,Uttarakhand,Rural,NH,Rainy,Bus,22793,3406,14277,6.5
2019,Telangana,Rural,NH,Clear,Truck,22808,2777,15474,8.47
2018,Uttarakhand,Rural,Rural,Rainy,Bus,5831,706,3711,8.47
2023,Bihar,Urban,SH,Clear,Two-Wheeler,13238,1882,6540,6.52
2010,Uttarakhand,Rural,SH,Rainy,Two-Wheeler,22864,2020,18181,5.15
2022,Delhi,Urban,Rural,Fog,Bus,4901,635,2831,6.28
2023,Punjab,Rural,SH,Fog,Car,1221,73,566,8.16
2019,Karnataka,Urban,City,Rainy,Two-Wheeler,1795,243,1336,5.42
2015,Himachal Pradesh,Urban,Rural,Rainy,Bus,24181,2768,14397,6.36
2023,Chhattisgarh,Rural,SH,Clear,Car,22990,1878,14866,7.89
2023,Tamil Nadu,Rural,NH,Clear,Truck,11321,1686,6560,7.61
2018,Bihar,Urban,City,Clear,Two-Wheeler,10680,1493,4883,6.27
2016,Madhya Pradesh,Urban,Rural,Clear,Two-Wheeler,4003,578,1825,5.11
2014,Andhra Pradesh,Urban,NH,Fog,Car,13642,1032,9788,7.31
2021,Chhattisgarh,Rural,NH,Clear,Car,13827,2047,7621,8.88
2013,Madhya Pradesh,Rural,SH,Rainy,Two-Wheeler,6991,983,3905,6.21
2014,Punjab,Rural,SH,Fog,Two-Wheeler,2922,266,1741,9.07
2023,Odisha,Urban,SH,Clear,Car,16201,2060,7529,5.07
2015,Uttar Pradesh,Urban,SH,Clear,Bus,13692,1766,10163,5.41
2013,West Bengal,Urban,SH,Rainy,Bus,17645,995,8350,6.85
2010,Delhi,Urban,Rural,Clear,Two-Wheeler,3080,208,1882,5.22
2015,Karnataka,Rural,NH,Rainy,Two-Wheeler,23950,2800,13634,5.7
2010,Karnataka,Urban,SH,Rainy,Two-Wheeler,17739,2329,10811,7.98
2021,Chhattisgarh,Urban,NH,Fog,Car,18838,2717,14957,8.63
2016,Chhattisgarh,Urban,NH,Clear,Two-Wheeler,21027,1454,14410,5.84
2014,Kerala,Urban,SH,Clear,Car,7236,642,4588,5.39
2015,Maharashtra,Urban,NH,Fog,Car,24797,2876,16104,5.12
2011,West Bengal,Urban,NH,Clear,Two-Wheeler,18988,2205,8132,6.43
2018,Delhi,Urban,SH,Clear,Car,5100,585,2687,8.07
2015,Uttar Pradesh,Urban,Rural,Clear,Bus,18305,1648,13627,8.15
2011,Karnataka,Urban,SH,Rainy,Two-Wheeler,23782,1728,15152,9.43
2010,Rajasthan,Urban,SH,Rainy,Truck,10724,1193,5403,5.57
